source_id,category,paper_id_guess,pdf_path,pdf_relative_path,pdf_exists,pdf_file_size_mb,markdown_expected_path,markdown_actual_path,markdown_exists,markdown_char_count,markdown_status,output_dir,legacy_output_dir,resolved_output_dir,output_dir_layout,has_output_dir,has_stage3,has_stage4a,has_final_dataset,has_link_aware_export,current_pipeline_status,recommended_next_action
fiber_process__019_干法纺丝制备α_al_2o_3陶瓷纤维及其力学性能研究_李建军,fiber_process,019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军,G:\paper\Sorted_Database\Fiber_Process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.pdf,G:\paper\Sorted_Database\Fiber_Process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.pdf,true,4.262,data\markdown\fiber_process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.md,data\markdown\fiber_process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.md,true,17795,exists_ok,data\outputs\fiber_process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军,data\outputs\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军,data\outputs\fiber_process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__029_无机酸铝体系氧化铝连续纤维的制备技术研究,fiber_process,029_无机酸铝体系氧化铝连续纤维的制备技术研究,G:\paper\Sorted_Database\Fiber_Process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.pdf,G:\paper\Sorted_Database\Fiber_Process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.pdf,true,1.411,data\markdown\fiber_process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.md,data\markdown\fiber_process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.md,true,35838,exists_ok,data\outputs\fiber_process\029_无机酸铝体系氧化铝连续纤维的制备技术研究,data\outputs\029_无机酸铝体系氧化铝连续纤维的制备技术研究,data\outputs\fiber_process\029_无机酸铝体系氧化铝连续纤维的制备技术研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__030_气电纺丝法制备硅铝增强氧化铈纳微纤维,fiber_process,030_气电纺丝法制备硅铝增强氧化铈纳微纤维,G:\paper\Sorted_Database\Fiber_Process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.pdf,G:\paper\Sorted_Database\Fiber_Process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.pdf,true,0.71,data\markdown\fiber_process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.md,data\markdown\fiber_process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.md,true,17451,exists_ok,data\outputs\fiber_process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维,data\outputs\030_气电纺丝法制备硅铝增强氧化铈纳微纤维,data\outputs\fiber_process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,fiber_process,031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,G:\paper\Sorted_Database\Fiber_Process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.pdf,G:\paper\Sorted_Database\Fiber_Process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.pdf,true,2.242,data\markdown\fiber_process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.md,data\markdown\fiber_process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.md,true,79928,exists_ok,data\outputs\fiber_process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,data\outputs\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,data\outputs\fiber_process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__032_氧化铝_莫来石前驱体纤维的溶胶设计及预烧结机理研究,fiber_process,032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,G:\paper\Sorted_Database\Fiber_Process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.pdf,G:\paper\Sorted_Database\Fiber_Process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.pdf,true,13.732,data\markdown\fiber_process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.md,data\markdown\fiber_process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.md,true,271609,exists_ok,data\outputs\fiber_process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,data\outputs\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,data\outputs\fiber_process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,fiber_process,033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,G:\paper\Sorted_Database\Fiber_Process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.pdf,G:\paper\Sorted_Database\Fiber_Process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.pdf,true,0.375,data\markdown\fiber_process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.md,data\markdown\fiber_process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.md,true,18691,exists_ok,data\outputs\fiber_process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,data\outputs\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,data\outputs\fiber_process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,fiber_process,034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,G:\paper\Sorted_Database\Fiber_Process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.pdf,G:\paper\Sorted_Database\Fiber_Process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.pdf,true,5.165,data\markdown\fiber_process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.md,data\markdown\fiber_process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.md,true,81426,exists_ok,data\outputs\fiber_process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,data\outputs\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,data\outputs\fiber_process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__035_氧化铝基陶瓷连续纤维研究进展,fiber_process,035_氧化铝基陶瓷连续纤维研究进展,G:\paper\Sorted_Database\Fiber_Process\035_氧化铝基陶瓷连续纤维研究进展.pdf,G:\paper\Sorted_Database\Fiber_Process\035_氧化铝基陶瓷连续纤维研究进展.pdf,true,1.172,data\markdown\fiber_process\035_氧化铝基陶瓷连续纤维研究进展.md,data\markdown\fiber_process\035_氧化铝基陶瓷连续纤维研究进展.md,true,36650,exists_ok,data\outputs\fiber_process\035_氧化铝基陶瓷连续纤维研究进展,data\outputs\035_氧化铝基陶瓷连续纤维研究进展,data\outputs\fiber_process\035_氧化铝基陶瓷连续纤维研究进展,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,fiber_process,036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,G:\paper\Sorted_Database\Fiber_Process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.pdf,G:\paper\Sorted_Database\Fiber_Process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.pdf,true,0.51,data\markdown\fiber_process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.md,data\markdown\fiber_process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.md,true,7233,exists_ok,data\outputs\fiber_process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,data\outputs\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,data\outputs\fiber_process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__037_氧化铝纤维制备工艺及表面涂层性能表征研究,fiber_process,037_氧化铝纤维制备工艺及表面涂层性能表征研究,G:\paper\Sorted_Database\Fiber_Process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.pdf,G:\paper\Sorted_Database\Fiber_Process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.pdf,true,5.715,data\markdown\fiber_process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.md,data\markdown\fiber_process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.md,true,43329,exists_ok,data\outputs\fiber_process\037_氧化铝纤维制备工艺及表面涂层性能表征研究,data\outputs\037_氧化铝纤维制备工艺及表面涂层性能表征研究,data\outputs\fiber_process\037_氧化铝纤维制备工艺及表面涂层性能表征研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,fiber_process,038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,G:\paper\Sorted_Database\Fiber_Process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.pdf,G:\paper\Sorted_Database\Fiber_Process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.pdf,true,11.33,data\markdown\fiber_process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.md,data\markdown\fiber_process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.md,true,86366,exists_ok,data\outputs\fiber_process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,data\outputs\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,data\outputs\fiber_process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__039_氧化铝纤维晶相抑制剂sio_2前驱体的选择_宋士玮,fiber_process,039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮,G:\paper\Sorted_Database\Fiber_Process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.pdf,G:\paper\Sorted_Database\Fiber_Process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.pdf,true,0.664,data\markdown\fiber_process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.md,data\markdown\fiber_process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.md,true,6517,exists_ok,data\outputs\fiber_process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮,data\outputs\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮,data\outputs\fiber_process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__041_氧化铝连续纤维前驱体的制备与表征,fiber_process,041_氧化铝连续纤维前驱体的制备与表征,G:\paper\Sorted_Database\Fiber_Process\041_氧化铝连续纤维前驱体的制备与表征.pdf,G:\paper\Sorted_Database\Fiber_Process\041_氧化铝连续纤维前驱体的制备与表征.pdf,true,8.063,data\markdown\fiber_process\041_氧化铝连续纤维前驱体的制备与表征.md,data\markdown\fiber_process\041_氧化铝连续纤维前驱体的制备与表征.md,true,80690,exists_ok,data\outputs\fiber_process\041_氧化铝连续纤维前驱体的制备与表征,data\outputs\041_氧化铝连续纤维前驱体的制备与表征,data\outputs\fiber_process\041_氧化铝连续纤维前驱体的制备与表征,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__042_氧化铝连续纤维的研制及表征_初步搞到这里了,fiber_process,042_氧化铝连续纤维的研制及表征（初步搞到这里了）,G:\paper\Sorted_Database\Fiber_Process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.pdf,G:\paper\Sorted_Database\Fiber_Process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.pdf,true,16.337,data\markdown\fiber_process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.md,data\markdown\fiber_process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.md,true,95348,exists_ok,data\outputs\fiber_process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）,data\outputs\042_氧化铝连续纤维的研制及表征（初步搞到这里了）,data\outputs\fiber_process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__044_溶胶_凝胶法制备zro_2掺杂和cuo_in_2o_3负载的氧化铝复合材料及其应用性能_阮铖涛,fiber_process,044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛,G:\paper\Sorted_Database\Fiber_Process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.pdf,G:\paper\Sorted_Database\Fiber_Process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.pdf,true,9.386,data\markdown\fiber_process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.md,data\markdown\fiber_process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.md,true,174275,exists_ok,data\outputs\fiber_process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛,data\outputs\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛,data\outputs\fiber_process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__045_溶胶_凝胶法制备α_al_2o_3纤维的相变与微观形貌控制_李相东,fiber_process,045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东,G:\paper\Sorted_Database\Fiber_Process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.pdf,G:\paper\Sorted_Database\Fiber_Process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.pdf,true,34.446,data\markdown\fiber_process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.md,data\markdown\fiber_process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.md,true,133816,exists_ok,data\outputs\fiber_process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东,data\outputs\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东,data\outputs\fiber_process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__046_溶胶_凝胶法制备氧化铝基纤维研究,fiber_process,046_溶胶—凝胶法制备氧化铝基纤维研究,G:\paper\Sorted_Database\Fiber_Process\046_溶胶—凝胶法制备氧化铝基纤维研究.pdf,G:\paper\Sorted_Database\Fiber_Process\046_溶胶—凝胶法制备氧化铝基纤维研究.pdf,true,2.713,data\markdown\fiber_process\046_溶胶—凝胶法制备氧化铝基纤维研究.md,data\markdown\fiber_process\046_溶胶—凝胶法制备氧化铝基纤维研究.md,true,72070,exists_ok,data\outputs\fiber_process\046_溶胶—凝胶法制备氧化铝基纤维研究,data\outputs\046_溶胶—凝胶法制备氧化铝基纤维研究,data\outputs\fiber_process\046_溶胶—凝胶法制备氧化铝基纤维研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__048_溶胶_凝胶法制备钛酸铝纤维的研究,fiber_process,048_溶胶—凝胶法制备钛酸铝纤维的研究,G:\paper\Sorted_Database\Fiber_Process\048_溶胶—凝胶法制备钛酸铝纤维的研究.pdf,G:\paper\Sorted_Database\Fiber_Process\048_溶胶—凝胶法制备钛酸铝纤维的研究.pdf,true,8.021,data\markdown\fiber_process\048_溶胶—凝胶法制备钛酸铝纤维的研究.md,data\markdown\fiber_process\048_溶胶—凝胶法制备钛酸铝纤维的研究.md,true,68410,exists_ok,data\outputs\fiber_process\048_溶胶—凝胶法制备钛酸铝纤维的研究,data\outputs\048_溶胶—凝胶法制备钛酸铝纤维的研究,data\outputs\fiber_process\048_溶胶—凝胶法制备钛酸铝纤维的研究,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__049_溶胶组成对氧化铝纤维微观结构及性质的影响,fiber_process,049_溶胶组成对氧化铝纤维微观结构及性质的影响,G:\paper\Sorted_Database\Fiber_Process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.pdf,G:\paper\Sorted_Database\Fiber_Process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.pdf,true,1.781,data\markdown\fiber_process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.md,data\markdown\fiber_process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.md,true,27816,exists_ok,data\outputs\fiber_process\049_溶胶组成对氧化铝纤维微观结构及性质的影响,data\outputs\049_溶胶组成对氧化铝纤维微观结构及性质的影响,data\outputs\fiber_process\049_溶胶组成对氧化铝纤维微观结构及性质的影响,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
fiber_process__050_烧结温度对莫来石纤维组织结构和性能的影响,fiber_process,050_烧结温度对莫来石纤维组织结构和性能的影响,G:\paper\Sorted_Database\Fiber_Process\050_烧结温度对莫来石纤维组织结构和性能的影响.pdf,G:\paper\Sorted_Database\Fiber_Process\050_烧结温度对莫来石纤维组织结构和性能的影响.pdf,true,0.554,data\markdown\fiber_process\050_烧结温度对莫来石纤维组织结构和性能的影响.md,data\markdown\fiber_process\050_烧结温度对莫来石纤维组织结构和性能的影响.md,true,22026,exists_ok,data\outputs\fiber_process\050_烧结温度对莫来石纤维组织结构和性能的影响,data\outputs\050_烧结温度对莫来石纤维组织结构和性能的影响,data\outputs\fiber_process\050_烧结温度对莫来石纤维组织结构和性能的影响,category_aware,true,false,false,false,false,markdown_ready,run_stage3_next
