source_id,category,paper_id_guess,doi,title_guess,main_pdf_path,markdown_path,supplementary_detected,detection_method,supplementary_source,supplementary_url,supplementary_file_type,supplementary_local_path,download_status,needs_manual_download,confidence,detection_hits,evidence_strength,strong_evidence_hits,weak_evidence_hits,notes
fiber_process__019_干法纺丝制备α_al_2o_3陶瓷纤维及其力学性能研究_李建军,fiber_process,019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军,,列及英国 ICI 公司生产的 Saffil 系列氧化铝纤维。我国高氧化铝含量的连续纤维目前只停留在实验室研发阶段，而且大都连续长度短，直径较粗且不均匀，制得的 α-Al2O3 纤维力学强度较低，纯度也有待提高。因此，选用合适的原料并优化工艺条件以建立高强度高氧化铝含量的 α-Al2O3 连续陶瓷纤维的制备方法具有重要的现实意义。,G:\paper\Sorted_Database\Fiber_Process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.pdf,data\markdown\fiber_process\019_干法纺丝制备α-Al_2O_3陶瓷纤维及其力学性能研究_李建军.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__029_无机酸铝体系氧化铝连续纤维的制备技术研究,fiber_process,029_无机酸铝体系氧化铝连续纤维的制备技术研究,10.15541/jim20230153,无机酸铝体系氧化铝连续纤维的制备技术研究,G:\paper\Sorted_Database\Fiber_Process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.pdf,data\markdown\fiber_process\029_无机酸铝体系氧化铝连续纤维的制备技术研究.md,true,markdown_keyword,markdown_link,https://doi.org/10.15541/jim20230153,unknown,,not_attempted,false,high,补充材料,strong,补充材料,,supplementary keyword detected with url
fiber_process__030_气电纺丝法制备硅铝增强氧化铈纳微纤维,fiber_process,030_气电纺丝法制备硅铝增强氧化铈纳微纤维,,气电纺丝法制备硅铝增强氧化铈纳微纤维,G:\paper\Sorted_Database\Fiber_Process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.pdf,data\markdown\fiber_process\030_气电纺丝法制备硅铝增强氧化铈纳微纤维.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,fiber_process,031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究,,东华大学硕士学位论文,G:\paper\Sorted_Database\Fiber_Process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.pdf,data\markdown\fiber_process\031_氧化硅_氧化铝前驱体结晶结构演变及其在氧化铝纤维制备中的应用研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__032_氧化铝_莫来石前驱体纤维的溶胶设计及预烧结机理研究,fiber_process,032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,,氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究,G:\paper\Sorted_Database\Fiber_Process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.pdf,data\markdown\fiber_process\032_氧化铝-莫来石前驱体纤维的溶胶设计及预烧结机理研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,fiber_process,033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究,10.11896/j.issn.1005-023X.2015.14.015,氧化铝/氧化锆前驱体纤维纺丝液的制备技术研究*,G:\paper\Sorted_Database\Fiber_Process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.pdf,data\markdown\fiber_process\033_氧化铝_氧化锆前驱体纤维纺丝液的制备技术研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.11896/j.issn.1005-023X.2015.14.015
fiber_process__034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,fiber_process,034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究,,濟南大學,G:\paper\Sorted_Database\Fiber_Process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.pdf,data\markdown\fiber_process\034_氧化铝基纤维_氧化铝复合材料的制备及其性能研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__035_氧化铝基陶瓷连续纤维研究进展,fiber_process,035_氧化铝基陶瓷连续纤维研究进展,10.14062/j.issn.0454-5648.20240213,http://www.gxyb.cbpt.cnki.net,G:\paper\Sorted_Database\Fiber_Process\035_氧化铝基陶瓷连续纤维研究进展.pdf,data\markdown\fiber_process\035_氧化铝基陶瓷连续纤维研究进展.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.14062/j.issn.0454-5648.20240213; general url present without supplementary keyword
fiber_process__036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,fiber_process,036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,10.3969/j.issn.1001-1935.2017.01.014,氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究,G:\paper\Sorted_Database\Fiber_Process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.pdf,data\markdown\fiber_process\036_氧化铝溶胶浸渍法制备氧化铝纤维的工艺研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.3969/j.issn.1001-1935.2017.01.014
fiber_process__037_氧化铝纤维制备工艺及表面涂层性能表征研究,fiber_process,037_氧化铝纤维制备工艺及表面涂层性能表征研究,,硕士学位论文,G:\paper\Sorted_Database\Fiber_Process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.pdf,data\markdown\fiber_process\037_氧化铝纤维制备工艺及表面涂层性能表征研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,fiber_process,038_氧化铝纤维基层状多孔陶瓷的制备与性能研究,,氧化铝纤维基层状多孔陶瓷的制备与性能研究,G:\paper\Sorted_Database\Fiber_Process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.pdf,data\markdown\fiber_process\038_氧化铝纤维基层状多孔陶瓷的制备与性能研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__039_氧化铝纤维晶相抑制剂sio_2前驱体的选择_宋士玮,fiber_process,039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮,,综述,G:\paper\Sorted_Database\Fiber_Process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.pdf,data\markdown\fiber_process\039_氧化铝纤维晶相抑制剂SiO_2前驱体的选择_宋士玮.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__041_氧化铝连续纤维前驱体的制备与表征,fiber_process,041_氧化铝连续纤维前驱体的制备与表征,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/041_氧化铝连续纤维前驱体的制备与表征/figures_all/2a6dac427d3eaeae4d7c698730aa8a88eeb56ac94b098ad5d12e20523f3f47da.jpg),G:\paper\Sorted_Database\Fiber_Process\041_氧化铝连续纤维前驱体的制备与表征.pdf,data\markdown\fiber_process\041_氧化铝连续纤维前驱体的制备与表征.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__042_氧化铝连续纤维的研制及表征_初步搞到这里了,fiber_process,042_氧化铝连续纤维的研制及表征（初步搞到这里了）,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/042_氧化铝连续纤维的研制及表征（初步搞到这里了）/figures_all/0452ea60d3ed375401d501603766ecc956bff87a49689a3b4ddc3bcffde818b2.jpg),G:\paper\Sorted_Database\Fiber_Process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.pdf,data\markdown\fiber_process\042_氧化铝连续纤维的研制及表征（初步搞到这里了）.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__044_溶胶_凝胶法制备zro_2掺杂和cuo_in_2o_3负载的氧化铝复合材料及其应用性能_阮铖涛,fiber_process,044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛/figures_all/86d66304e7cbe6b2221ad811a52653a16b11e0739585930bf210927970465316.jpg),G:\paper\Sorted_Database\Fiber_Process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.pdf,data\markdown\fiber_process\044_溶胶—凝胶法制备ZrO_2掺杂和CuO@In_2O_3负载的氧化铝复合材料及其应用性能_阮铖涛.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__045_溶胶_凝胶法制备α_al_2o_3纤维的相变与微观形貌控制_李相东,fiber_process,045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东,,廈門大學,G:\paper\Sorted_Database\Fiber_Process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.pdf,data\markdown\fiber_process\045_溶胶—凝胶法制备α-Al_2O_3纤维的相变与微观形貌控制_李相东.md,true,pdf_text_keyword,markdown_link,http://www.w3.org/1999/02/22-rdf-syntax-ns#,unknown,,not_attempted,false,high,ESI,strong,ESI,,supplementary keyword detected with url
fiber_process__046_溶胶_凝胶法制备氧化铝基纤维研究,fiber_process,046_溶胶—凝胶法制备氧化铝基纤维研究,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/046_溶胶—凝胶法制备氧化铝基纤维研究/figures_all/8aaa781e2daf9a28372155c6cc2045059a7b46f1db5d79f5edb4478a771b3bfd.jpg),G:\paper\Sorted_Database\Fiber_Process\046_溶胶—凝胶法制备氧化铝基纤维研究.pdf,data\markdown\fiber_process\046_溶胶—凝胶法制备氧化铝基纤维研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__048_溶胶_凝胶法制备钛酸铝纤维的研究,fiber_process,048_溶胶—凝胶法制备钛酸铝纤维的研究,,![](G:/paper/Al-gel-sol/alumina_sol_extractor/data/outputs/048_溶胶—凝胶法制备钛酸铝纤维的研究/figures_all/3303638ebab56aa21c68312d751b14477c22693d54adebeb4b934ea09ae8db7f.jpg),G:\paper\Sorted_Database\Fiber_Process\048_溶胶—凝胶法制备钛酸铝纤维的研究.pdf,data\markdown\fiber_process\048_溶胶—凝胶法制备钛酸铝纤维的研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__049_溶胶组成对氧化铝纤维微观结构及性质的影响,fiber_process,049_溶胶组成对氧化铝纤维微观结构及性质的影响,,的电荷和较小的尺寸(1~2 nm)而被认为是聚合氯化铝溶胶中最小而且最稳定的纳米粒子 ^[24] ，并引起各领域研究者们广泛的研究兴趣。目前，研究人员在羟基聚合铝离子的形成和转化机制研究中取得一定的进展，但是溶胶中羟基聚合铝的种类和含量对产物的影响，尤其是在静电纺丝制备氧化铝纤维方面，溶胶中胶粒形态对产物的物相结构及性质的影响还未见报道。,G:\paper\Sorted_Database\Fiber_Process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.pdf,data\markdown\fiber_process\049_溶胶组成对氧化铝纤维微观结构及性质的影响.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__050_烧结温度对莫来石纤维组织结构和性能的影响,fiber_process,050_烧结温度对莫来石纤维组织结构和性能的影响,10.16552/j.cnki.issn1001-1625.2018.07.002,烧结温度对莫来石纤维组织结构和性能的影响,G:\paper\Sorted_Database\Fiber_Process\050_烧结温度对莫来石纤维组织结构和性能的影响.pdf,data\markdown\fiber_process\050_烧结温度对莫来石纤维组织结构和性能的影响.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.16552/j.cnki.issn1001-1625.2018.07.002
fiber_process__051_稀土氧化物对低温固相合成镁铝尖晶石纤维的影响,fiber_process,051_稀土氧化物对低温固相合成镁铝尖晶石纤维的影响,10.3969/j.issn.1001-1935.2024.05.008,稀土氧化物对低温固相合成镁铝尖晶石纤维的影响,G:\paper\Sorted_Database\Fiber_Process\051_稀土氧化物对低温固相合成镁铝尖晶石纤维的影响.pdf,data\markdown\fiber_process\051_稀土氧化物对低温固相合成镁铝尖晶石纤维的影响.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.3969/j.issn.1001-1935.2024.05.008
fiber_process__054_纳米α_al_2o_3籽晶的合成及其在制备α_al_2o_3纤维中的应用_肖泓芮,fiber_process,054_纳米α-Al_2O_3籽晶的合成及其在制备α-Al_2O_3纤维中的应用_肖泓芮,,摘要,G:\paper\Sorted_Database\Fiber_Process\054_纳米α-Al_2O_3籽晶的合成及其在制备α-Al_2O_3纤维中的应用_肖泓芮.pdf,data\markdown\fiber_process\054_纳米α-Al_2O_3籽晶的合成及其在制备α-Al_2O_3纤维中的应用_肖泓芮.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__055_纳米氧化铝纤维基多孔陶瓷的制备与性能研究,fiber_process,055_纳米氧化铝纤维基多孔陶瓷的制备与性能研究,,分类号：TH140.7 密级：公开,G:\paper\Sorted_Database\Fiber_Process\055_纳米氧化铝纤维基多孔陶瓷的制备与性能研究.pdf,data\markdown\fiber_process\055_纳米氧化铝纤维基多孔陶瓷的制备与性能研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__056_莫来石_氧化铝复合连续纤维制备及研究,fiber_process,056_莫来石-氧化铝复合连续纤维制备及研究,,莫来石-氧化铝复合连续纤维制备及研究,G:\paper\Sorted_Database\Fiber_Process\056_莫来石-氧化铝复合连续纤维制备及研究.pdf,data\markdown\fiber_process\056_莫来石-氧化铝复合连续纤维制备及研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__057_莫来石纤维复合网络二级结构的可控化研究,fiber_process,057_莫来石纤维复合网络二级结构的可控化研究,,莫来石纤维复合网络二级结构的可控化研究,G:\paper\Sorted_Database\Fiber_Process\057_莫来石纤维复合网络二级结构的可控化研究.pdf,data\markdown\fiber_process\057_莫来石纤维复合网络二级结构的可控化研究.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__058_莫来石纳米纤维复合材料的制备及隔热研究,fiber_process,058_莫来石纳米纤维复合材料的制备及隔热研究,,莫来石纳米纤维复合材料的制备及隔热研究,G:\paper\Sorted_Database\Fiber_Process\058_莫来石纳米纤维复合材料的制备及隔热研究.pdf,data\markdown\fiber_process\058_莫来石纳米纤维复合材料的制备及隔热研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__059_连续氧化铝纤维及其复合材料的研究进展,fiber_process,059_连续氧化铝纤维及其复合材料的研究进展,,"thermoelectricity, petrochemicals, semiconductors, automobiles, and high-temperature furnaces. Alumina fiber and its composite materials abroad have been commercialized and implemented in component ap",G:\paper\Sorted_Database\Fiber_Process\059_连续氧化铝纤维及其复合材料的研究进展.pdf,data\markdown\fiber_process\059_连续氧化铝纤维及其复合材料的研究进展.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__060_连续氧化铝纤维增强氧化铝基复合材料的制备与性能研究,fiber_process,060_连续氧化铝纤维增强氧化铝基复合材料的制备与性能研究,,工学博士学位论文,G:\paper\Sorted_Database\Fiber_Process\060_连续氧化铝纤维增强氧化铝基复合材料的制备与性能研究.pdf,data\markdown\fiber_process\060_连续氧化铝纤维增强氧化铝基复合材料的制备与性能研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__061_连续氧化铝纤维高温烧结的相变行为及致密化机理研究,fiber_process,061_连续氧化铝纤维高温烧结的相变行为及致密化机理研究,,连续氧化铝纤维高温烧结的相变行为及致密化机理研究,G:\paper\Sorted_Database\Fiber_Process\061_连续氧化铝纤维高温烧结的相变行为及致密化机理研究.pdf,data\markdown\fiber_process\061_连续氧化铝纤维高温烧结的相变行为及致密化机理研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__062_连续铝硅酸盐纤维增强al_2o_3_zro_2陶瓷基复合材料的制备与表征_张锦昌,fiber_process,062_连续铝硅酸盐纤维增强Al_2O_3-ZrO_2陶瓷基复合材料的制备与表征_张锦昌,,华南理工大学硕士学位论文,G:\paper\Sorted_Database\Fiber_Process\062_连续铝硅酸盐纤维增强Al_2O_3-ZrO_2陶瓷基复合材料的制备与表征_张锦昌.pdf,data\markdown\fiber_process\062_连续铝硅酸盐纤维增强Al_2O_3-ZrO_2陶瓷基复合材料的制备与表征_张锦昌.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__064_铁复合铝硅系溶胶制备及其性能基础研究,fiber_process,064_铁复合铝硅系溶胶制备及其性能基础研究,,工学硕士学位论文,G:\paper\Sorted_Database\Fiber_Process\064_铁复合铝硅系溶胶制备及其性能基础研究.pdf,data\markdown\fiber_process\064_铁复合铝硅系溶胶制备及其性能基础研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__067_镁源种类非水解溶胶_凝胶法制备镁稳定钛酸铝纤维的影响,fiber_process,067_镁源种类非水解溶胶-凝胶法制备镁稳定钛酸铝纤维的影响,,镁源种类非水解溶胶－凝胶法制备镁稳定钛酸铝纤维的影响,G:\paper\Sorted_Database\Fiber_Process\067_镁源种类非水解溶胶-凝胶法制备镁稳定钛酸铝纤维的影响.pdf,data\markdown\fiber_process\067_镁源种类非水解溶胶-凝胶法制备镁稳定钛酸铝纤维的影响.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__068_镁铝尖晶石纤维及纤维板的制备与性能研究,fiber_process,068_镁铝尖晶石纤维及纤维板的制备与性能研究,,硕士专业学位论文,G:\paper\Sorted_Database\Fiber_Process\068_镁铝尖晶石纤维及纤维板的制备与性能研究.pdf,data\markdown\fiber_process\068_镁铝尖晶石纤维及纤维板的制备与性能研究.md,true,pdf_text_keyword,unknown,,unknown,,manual_required,true,high,ESI,strong,ESI,,supplementary keyword detected without url
fiber_process__069_静电纺氧化铝_会议_纤维膜的制备与构效关系,fiber_process,069_静电纺氧化铝！！会议！！纤维膜的制备与构效关系,,静电纺氧化铝纤维膜的制备与构效关系,G:\paper\Sorted_Database\Fiber_Process\069_静电纺氧化铝！！会议！！纤维膜的制备与构效关系.pdf,data\markdown\fiber_process\069_静电纺氧化铝！！会议！！纤维膜的制备与构效关系.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,
fiber_process__072_abdullah_等_2010_effects_of_the_polyvinyl_alcohol_pva_on_the_synthesis_of_alumina_fibers_through_electrospinning_te,fiber_process,072_Abdullah 等 - 2010 - Effects of the polyvinyl alcohol (PVA) on the synthesis of alumina fibers through electrospinning te,10.4028/www.scientific.net/AMR.173,Effects of The Polyvinyl Alcohol (PVA) on The Synthesis of Alumina Fibers Through Electrospinning Technique,G:\paper\Sorted_Database\Fiber_Process\072_Abdullah 等 - 2010 - Effects of the polyvinyl alcohol (PVA) on the synthesis of alumina fibers through electrospinning te.pdf,data\markdown\fiber_process\072_Abdullah 等 - 2010 - Effects of the polyvinyl alcohol (PVA) on the synthesis of alumina fibers through electrospinning te.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.4028/www.scientific.net/AMR.173; general url present without supplementary keyword
fiber_process__081_al_sub_2__sub_o_sub_3__sub__zro_sub_2__sub_复合膜的制备与表征,fiber_process,081_Al_sub_2__sub_O_sub_3__sub_-ZrO_sub_2__sub_复合膜的制备与表征,,Al2O3-ZrO2 复合膜的制备与表征,G:\paper\Sorted_Database\Fiber_Process\081_Al_sub_2__sub_O_sub_3__sub_-ZrO_sub_2__sub_复合膜的制备与表征.pdf,data\markdown\fiber_process\081_Al_sub_2__sub_O_sub_3__sub_-ZrO_sub_2__sub_复合膜的制备与表征.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,general url present without supplementary keyword
fiber_process__095_buining_等_1991_preparation_of_colloidal_boehmite_needles_by_hydrothermal_treatment_of_aluminum_alkoxide_precursors,fiber_process,095_Buining 等 - 1991 - Preparation of colloidal boehmite needles by hydrothermal treatment of aluminum alkoxide precursors,10.1111/j.1151-2916.1991.tb04102.x,Preparation of Colloidal Boehmite Needles by Hydrothermal Treatment of Aluminum Alkoxide Precursors,G:\paper\Sorted_Database\Fiber_Process\095_Buining 等 - 1991 - Preparation of colloidal boehmite needles by hydrothermal treatment of aluminum alkoxide precursors.pdf,data\markdown\fiber_process\095_Buining 等 - 1991 - Preparation of colloidal boehmite needles by hydrothermal treatment of aluminum alkoxide precursors.md,false,none,unknown,,unknown,,unavailable,false,low,,none,,,doi detected: 10.1111/j.1151-2916.1991.tb04102.x; general url present without supplementary keyword
fiber_process__096_cai_等_2006_azeotropic_distillation_assisted_preparation_of_macro_mesostructured_γ_al2o3_nanofibres_of_crumpled,fiber_process,096_Cai 等 - 2006 - Azeotropic distillation-assisted preparation of macro-mesostructured γ-Al2O3 nanofibres of crumpled,10.1016/j.matchemphys.2005.06.053,Azeotropic distillation-assisted preparation of macro-mesostructured γ-Al2O3 nanofibres of crumpled sheet-like morphology,G:\paper\Sorted_Database\Fiber_Process\096_Cai 等 - 2006 - Azeotropic distillation-assisted preparation of macro-mesostructured γ-Al2O3 nanofibres of crumpled.pdf,data\markdown\fiber_process\096_Cai 等 - 2006 - Azeotropic distillation-assisted preparation of macro-mesostructured γ-Al2O3 nanofibres of crumpled.md,true,markdown_keyword; pdf_text_keyword,markdown_link,http://dx.doi.org/10.1016/j.matchemphys.2005.06.053)/S,unknown,,not_attempted,false,high,Supplementary Data,strong,Supplementary Data,,supplementary keyword detected with url; Appendix; online version
